Scores & Fixtures 2021-2022 Süper Lig,,,,,,
,,,,,,
Wk,Day,Date,Home,Score,Away,Referee
28,Mon,2022-03-07,Kayserispor,1–2,Alanyaspor,Suat Arslanboga
28,Mon,2022-03-07,Gaziantep FK,2–2,Hatayspor,Hüseyin Göçek
28,Mon,2022-03-07,Beşiktaş,2–2,Başakşehir,Erkan Özdamar
,,,,,,
29,Sat,2022-03-12,Hatayspor,3–0,Fatih Karagümrük,Yaşar Kemal Uğurlu
29,Sat,2022-03-12,Kasımpaşa,3–1,Rizespor,Sarper Barış Saka
29,Sat,2022-03-12,Altay,1–0,Yeni Mal'spor,Erkan Özdamar
29,Sat,2022-03-12,Trabzonspor,4–2,Göztepe,Ali Şansalan
29,Sun,2022-03-13,Kayserispor,2–3,Konyaspor,Yasin Kol
Wk,Day,Date,Home,Score,Away,Referee
29,Sun,2022-03-13,Adana Demirspor,2–3,Sivasspor,Çağdaş Altay
29,Sun,2022-03-13,Alanyaspor,2–5,Fenerbahçe,Volkan Bayarslan
29,Mon,2022-03-14,Başakşehir,0–1,Antalyaspor,Zorbay Küçük
29,Mon,2022-03-14,Galatasaray,2–1,Beşiktaş,Atilla Karaoğlan
29,Mon,2022-03-14,Giresunspor,2–1,Gaziantep FK,Kadir Sağlam
,,,,,,
30,Fri,2022-03-18,Fatih Karagümrük,3–0,Kayserispor,Kadir Sağlam
30,Fri,2022-03-18,Rizespor,3–2,Trabzonspor,Volkan Bayarslan
30,Sat,2022-03-19,Yeni Mal'spor,0–2,Kasımpaşa,Ali Şansalan
30,Sat,2022-03-19,Göztepe,0–2,Alanyaspor,Zorbay Küçük
30,Sat,2022-03-19,Adana Demirspor,2–1,Başakşehir,Yaşar Kemal Uğurlu
30,Sat,2022-03-19,Beşiktaş,1–1,Hatayspor,Yasin Kol
30,Sun,2022-03-20,Antalyaspor,4–1,Giresunspor,Mustafa Kürşad Filiz
30,Sun,2022-03-20,Sivasspor,2–1,Altay,Atilla Karaoğlan
30,Sun,2022-03-20,Gaziantep FK,3–1,Galatasaray,Arda Kardeşler
30,Sun,2022-03-20,Fenerbahçe,2–1,Konyaspor,Halil Umut Meler
,,,,,,
31,Sat,2022-04-02,Giresunspor,2–2,Sivasspor,Arda Kardeşler
31,Sat,2022-04-02,Kayserispor,0–4,Fenerbahçe,Atilla Karaoğlan
31,Sat,2022-04-02,Altay,1–2,Antalyaspor,Yasin Kol
